Company,Sector,Stage,Amount,Location,About,Funding Year
Antariksh Waste Ventures Pvt Ltd,Internet Of Things,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018
Cogoport,Air Transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers,2018
Paisadukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018
Sleepy Owl Coffee,Food And Beverage,Seed,511000.0,New Delhi,Makers of a signature coffee thats exceptional in taste Its super easy to brew requires no equipment  ships to your door,2018
Bluejack,Autonomous Vehicles,Seed,934400.0,New Delhi,Delhibased online used vehicles marketplace,2018
Pregbuddy,Enterprise Software,Seed,1300000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers,2018
Agnext Technologies,Agriculture,Series A,1300000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building datadriven solutions for agricultural stakeholders,2018
Pando,Logistics,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies,2018
Mintifi,Financial Services,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai,2018
Carcrew,Automotive,Seed,2000000.0,Mumbai,Indias Online Auto Repair Marketplace,2018
Nicheai,Artificial Intelligence,Angel,1300000.0,Hyderabad,Early stage Artificial Intelligence AI start up,2018
Chariot Tech,Internet Of Things,Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things IoT startup based in New Delhi,2018
Ideal Insurance Brokers/ 121Policy.Com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain,2018
Loanzen,Financial Services,Seed,1300000.0,Bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices,2018
Mojro Technologies,Information Technology,Seed,650000.0,Bengaluru,Mojro envisions to be the worlds largest technologyenabled logistics platform,2018
Elemential,Blockchain,Seed,1000000.0,Mumbai,Blockchain Development Platform To Design Run  Scale Blockchain Networks,2018
Loadshare,Industrial Automation,Series A,5000000.0,Bengaluru,LoadShare is Indias fastest growing logistics company,2018
Yumlane,Food And Beverage,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018
Kriger Campus,Education,Seed,438000.0,New Delhi,A Education Start Up,2018
Pipa+Bella,E-Commerce,Series A,1000000.0,Mumbai,PipaBella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,A fintech platform,2018
Chakr Innovation,Renewable Energy,Seed,1300000.0,New Delhi,Chakr has developed the worlds first retrofit emission control device for diesel generators,2018
Indigolearn,E-Learning,Seed,150000.0,Hyderabad,Indias the premier education destination catering to the needs of aspiring students of the CA community,2018
