Company,Location,Sector,About,Amount,Stage,Funding Year
IncNut Digital,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,4000000.0,Series A,2020
GigIndia,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,971000.0,Pre series A,2020
Specsmaker,Chennai,Eye Wear,Online optical chain for eye wears,3060000.0,Series A,2020
Piggy Ride,Bengaluru,SaaS,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",1862000.0,Pre series A,2020
Chai Waale,Chennai,Beverage,Tea Brand,232000.0,Series A,2020
NOTO,Mumbai,Food,A brand that makes healthy icecream,3000000.0,Pre seed round,2020
Cuemath,Bengaluru,Edtech,It helps students to learn math online,2888000.0,Series B,2020
Cars24,Gurugram,Automobile,Online platform for selling used cars,1328000.0,Series A,2020
JetSynthesys,Pune,Digital tech,Digital entertainment and technology company,40000000.0,Series A,2020
Earth Energy EV,Mumbai,Automobile,Electric vehicles startup,3000000.0,Seed Round,2020
Green Cure,New Delhi,Health & Wellness,It sells herbal OTC products,3000000.0,Series A,2020
Blue Sky Analytics,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc",1200000.0,Seed Round,2020
Edhusk,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,3000000.0,Series A,2020
Decentro,Bengaluru,Fintech,Automated API-based platform that enables financial integrations.,15500000.0,Series A,2020
Zolostays,Bengaluru,Co-living,It offers affordable housing apartments to young professionals and students,56000000.0,Series C,2020
Frontier Markets,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,2250000.0,Pre series A,2020
Brainwired,Kerala,Agritech,India’s first livestock health monitoring company,3000000.0,Series A,2020
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,16753000.0,Series E,2020
Paper Boat,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,3700000.0,Series A,2020
Ken42,Bengaluru,Edtech,A platform that caters to evolving needs of institutions,1470000.0,Series A,2020
Forbidden Foods,New Delhi,Food,Packaged snacks company,1000000.0,Seed Round,2020
Universal Sportsbiz,Bengaluru,Fashion,Indian fashion industry with on-trend products,530000.0,Series A,2020
Gobbly,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,500000.0,Seed Round,2020
Aerostrovilos,Chennai,Automotive,Manufactures micro gas turbines for power-based application,3000000.0,Series A,2020
Mitron,Bengaluru,Media,Short Video and Social Platform,267000.0,Seed Round,2020
Bulk MRO,Mumbai,B2B,A full stack B2B platform for industrial supplies,3344000.0,Series A,2020
Inspektlabs,New Delhi,AI,Focuses on building computer vision products for physical asset inspections,600000.0,Pre series A,2020
Big Bang Boom Solutions,Chennai,Defense tech,It developed integrated intellectual properties for defense,1000000.0,Series A,2020
Flinto,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,7200000.0,Pre series B,2020
Zetwerk,Bengaluru,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,21000000.0,Series C,2020
ChitMonks,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,650000.0,Pre series A,2020
Walrus,Bengaluru,Fintech,It provides banking solutions for teens and young adults,3000000.0,Pre-Seed,2020
Arth Designbuild,Hyderebad,Construction tech,Construction technology and solutions provider,1100000.0,Series A,2020
goDutch,Mumbai,Fintech,Group Payments platform,1700000.0,Seed Round,2020
Rusk Media,New Delhi,Digital Media,It creates video content,3000000.0,Seed Round,2020
Bold Care,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,3000000.0,Pre-seed Round,2020
Samosa Party,Bengaluru,Food,Provides quality Indian Snacks,3000000.0,Series A,2020
High Street Essentials,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,2743000.0,Pre series C,2020
Byju's,Bengaluru,Edtech,Provides online learning classes,3000000.0,Series A,2020
Slice,Bengaluru,Fintech,A financial platform for youngsters,6082000.0,Pre series B,2020
Bombay Play,Bengaluru,Gaming,It designs and creates online multiplayer games,1500000.0,Pre series A,2020
Fullife,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,6609000.0,Series A,2020
Oziva,Mumbai,Nutrition,Clean Label Active Nutrition Brand,5000000.0,Series A,2020
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,27700000.0,Series E,2020
Aether Biomedical,New Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices",3000000.0,Seed Investment,2020
